0372203,0372256,0372264,0373090,0373284,0373718,0374951,0375040,0377384,0381206,0381428,0383893,0384749,0387173,0387231,0387276,0387498,0387581,0387680,0387813,0387957,0389310,0389365,0389371,0389548,0390468,0390544,0390619,0390629,0391534,0394561,0394587,0394633,0394712,0395790,0395802,0397087,0399463,0403192,0403576,0404642,0406963,0407585,0409908,0410755,0410797,0411603,0412296,0412421,0413270
0413381,0413403,0413411,0417016,0417085,0417792,0418004,0418354,0420778,0421659,0422818,0423568,0423923,0426585,0427021,0427189,0427611,0427839,0428302,0429274,0429357,0429450,0430377,0431256,0431450,0431603,0431854,0434023,0434039,0434300,0434371,0434975,0435533,0436681,0436693,0436703,0437806,0439095,0439121,0439186,0439594,0441055,0442495,0443705,0444444,0444606,0444711,0445062,0445088,0445470
0446122,0447306,0447310,0450312,0450338,0450365,0450544,0452898,0454351,0455636,0455901,0455933,0458028,0458275,0458741,0460602,0460628,0460636,0460651,0460673,0460711,0460792,0460818,0460830,0460885,0460901,0460915,0460917,0460921,0460935,0460941,0460954,0460982,0460996,0461008,0461010,0461030,0461083,0461097,0461105,0461113,0461121,0461141,0461162,0462329,0462481,0463113,0463396,0463446,0464212
0465132,0465528,0467599,0467625,0469195,0470112,0470163,0470573,0470611,0474363,0475394,0475402,0475410,0475432,0475451,0475507,0475539,0475545,0475634,0476709,0477402,0478537,0478653,0478669,0479182,0479370,0480491,0482762,0483246,0483547,0483947,0484311,0484315,0484673,0484998,0486720,0487167,0487280,0488427,0488480,0488504,0488512,0488530,0488660,0490575,0490795,0490898,0491621,0493348,0494270
0496026,0496034,0497236,0497659,0499808,0500456,0500524,0500825,0501431,0502159,0502981,0505327,0505366,0508541,0509889,0509913,0509958,0509960,0509990,0510028,0513515,0514671,0515217,0515423,0515619,0517298,0517757,0517953,0518425,0518696,0518704,0518712,0520520,0520831,0520959,0521856,0523748,0523951,0524694,0524886,0524951,0524995,0525042,0525091,0525178,0526337,0526663,0527952,0528044,0528234
0528729,0529063,0531287,0531539,0533485,0533509,0533517,0533531,0533543,0533550,0533608,0533683,0533796,0533806,0533838,0534448,0534786,0535783,0535809,0537270,0537878,0541470,0541716,0542078,0543585,0545362,0546010,0546418,0546420,0546442,0546455,0546511,0546533,0546659,0546673,0546796,0547242,0548919,0549137,0550780,0552356,0553420,0554461,0554535,0554788,0554806,0555245,0555728,0556076,0557074
0560245,0561292,0564029,0564686,0565806,0565956,0565962,0566461,0566606,0566657,0566681,0566709,0566838,0567309,0569576,0570481,0571240,0571584,0572677,0574143,0579231,0579387,0581779,0582294,0587350,0588131,0588691,0588731,0589958,0590077,0591402,0592230,0593067,0593909,0594392,0595522,0595946,0596009,0596371,0596728,0596845,0596856,0598942,0600037,0600064,0600306,0600504,0600565,0600926,0602284
0010967,0011924,0013553,0013567,0013587,0017012,0017354,0017461,0018127,0019562,0020479,0024012,0024042,0025258,0025724,0029033,0031211,0032179,0032284,0033045,0033058,0033815,0033967,0034120,0034627,0035016,0035446,0037780,0037885,0037970,0038002,0039976,0040071,0040081,0040810,0041230,0041539,0041543,0042051,0042283,0042295,0042335,0042360,0042915,0044343,0046043,0046528,0048751,0049763,0051557
0052068,0053429,0054320,0054544,0054878,0055493,0055507,0056505,0058511,0059089,0059204,0059323,0059451,0059519,0060566,0060893,0061257,0061695,0062000,0062297,0062891,0064626,0064778,0064917,0064927,0064937,0065237,0065258,0065268,0065298,0065324,0065338,0066039,0066070,0066902,0067003,0067098,0067324,0067391,0067427,0067571,0067601,0067639,0067700,0067702,0067777,0068243,0069270,0072116,0072157
0073338,0073353,0074534,0074652,0075048,0075079,0077194,0077446,0077933,0078018,0078527,0078673,0079095,0079103,0079584,0079634,0081319,0081384,0081455,0081638,0082032,0082770,0083248,0083636,0083788,0085722,0085898,0086686,0087940,0090443,0090811,0091292,0091522,0092310,0093359,0095721,0097008,0097343,0097354,0097366,0097374,0097382,0097396,0099895,0100628,0100677,0100743,0100750,0100768,0101453
0101477,0101618,0101675,0101766,0102004,0102194,0103663,0104059,0104190,0104497,0104505,0104521,0104533,0105985,0106007,0106011,0106027,0106033,0106633,0108146,0108181,0108688,0108771,0108787,0108910,0108936,0109025,0109445,0109452,0109678,0109843,0109868,0109884,0111445,0111466,0111526,0111615,0111748,0112395,0113191,0114413,0114421,0114447,0115370,0115428,0117341,0117358,0117966,0118366,0118394
0119075,0120899,0121194,0121659,0122352,0122368,0122723,0123034,0123939,0124495,0124636,0124669,0126894,0127217,0128298,0130104,0130296,0130452,0130536,0131496,0132991,0134607,0134753,0135632,0136663,0137265,0137794,0138216,0138818,0138834,0139610,0139867,0140582,0141980,0142307,0143356,0144519,0144659,0144683,0145300,0152512,0152884,0153157,0153563,0154755,0156976,0157479,0164022,0164376,0164384
